AÑO,PERSONA,TIPO DE SERVICIO,NOMBRE DE LA TAREA,MODALIDAD,COMPLEJIDAD
2019,ID_128,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_129,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_130,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_131,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_132,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_133,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_134,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_135,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_136,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_137,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_138,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_139,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_140,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_141,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_142,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_143,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_144,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_145,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_146,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_147,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_148,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_149,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_30,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_150,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_151,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_152,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_153,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_154,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_155,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_156,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_157,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_158,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_159,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_160,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_161,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_162,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_163,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_164,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_165,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_166,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_167,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_168,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_169,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_170,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_171,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_172,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_173,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_174,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_175,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_176,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_177,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_178,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_179,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_180,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_181,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_182,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_183,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_184,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_185,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_186,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_187,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_188,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_189,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_190,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_191,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_192,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_193,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_194,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_195,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_196,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_197,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
